text,category
Paid Rs.1330 to ATM Withdrawal,Other
Reliance Fresh 3750,Groceries
Transaction of 2922 at Netflix,Entertainment
Rs.388 debited for Dominos,Food
Paid Rs.4715 to Misc Payment,Other
Rs.1971 debited for Cafe Coffee Day,Food
Paid Rs.568 to Fortis Hospital,Health
Rs.3502 debited for Dominos,Food
MakeMyTrip 3104,Travel
Paid Rs.3340 to Amazon,Shopping
Paid Rs.1293 to Fortis Hospital,Health
₹2216 spent on MakeMyTrip,Travel
₹1978 spent on Dominos,Food
₹1825 spent on UPI Transfer,Transfer
Reliance Fresh 4991,Groceries
Rs.296 debited for Amazon,Shopping
Paid Rs.4352 to Cash Withdrawal,Other
DMart 3273,Groceries
Transaction of 1644 at KFC,Food
Paid Rs.3498 to Pizza Hut,Food
₹4336 spent on Netflix,Entertainment
Rs.4549 debited for Ajio,Shopping
Rs.2272 debited for Flipkart,Shopping
₹1458 spent on BSNL Bill,Bills
Transaction of 1437 at Fortis Hospital,Health
Rs.3094 debited for Paytm,Transfer
Rs.3105 debited for Max Healthcare,Health
Paid Rs.1580 to Byju's,Education
Google Pay 2831,Transfer
Paid Rs.1160 to Fortis Hospital,Health
₹2169 spent on McDonalds,Food
Rs.4898 debited for ATM Withdrawal,Other
Spencer's 1432,Groceries
SonyLiv 662,Entertainment
Cafe Coffee Day 3462,Food
Rs.897 debited for Electricity Bill,Bills
edX 2068,Education
Paid Rs.4146 to Spotify,Entertainment
Rs.3360 debited for Cheque Deposit,Other
More Supermarket 3564,Groceries
Transaction of 3363 at Unacademy,Education
Transaction of 1009 at Unknown Transaction,Other
Transaction of 1226 at Airtel Recharge,Bills
Rs.2483 debited for Disney Hotstar,Entertainment
PhonePe 2013,Transfer
Paid Rs.3159 to MakeMyTrip,Travel
₹1716 spent on Myntra,Shopping
₹571 spent on More Supermarket,Groceries
Transaction of 3483 at IMPS Transfer,Transfer
₹124 spent on Airtel Recharge,Bills
Paid Rs.1918 to Airtel Recharge,Bills
₹1689 spent on Airtel Recharge,Bills
Max Healthcare 1339,Health
Transaction of 3758 at Uber,Travel
Paid Rs.3987 to MakeMyTrip,Travel
Transaction of 4298 at WhiteHat Jr,Education
Paid Rs.3416 to BSNL Bill,Bills
Transaction of 3940 at Spotify,Entertainment
₹1744 spent on Apollo Pharmacy,Health
Transaction of 249 at Water Bill,Bills
Transaction of 256 at Indigo Airlines,Travel
Transaction of 4455 at Water Bill,Bills
Amazon 2663,Shopping
₹3247 spent on More Supermarket,Groceries
Airtel Recharge 902,Bills
₹2190 spent on Paytm,Transfer
Transaction of 3096 at Ajio,Shopping
Transaction of 1177 at Pharmeasy,Health
₹3555 spent on PhonePe,Transfer
Rs.2916 debited for Cheque Deposit,Other
₹1290 spent on BSNL Bill,Bills
Paid Rs.1912 to Zee5,Entertainment
Transaction of 2315 at NEFT Transfer,Transfer
Rs.694 debited for ATM Withdrawal,Other
₹3562 spent on Disney Hotstar,Entertainment
₹4037 spent on Paytm,Transfer
Rs.4365 debited for Zomato,Food
Paid Rs.1984 to ATM Withdrawal,Other
Paid Rs.1874 to Google Pay,Transfer
Rs.848 debited for Disney Hotstar,Entertainment
SonyLiv 694,Entertainment
Unacademy 1752,Education
Rs.3544 debited for Nature's Basket,Groceries
₹4901 spent on UPI Transfer,Transfer
NEFT Transfer 2980,Transfer
₹2636 spent on IMPS Transfer,Transfer
Transaction of 3499 at Cash Withdrawal,Other
Ajio 3445,Shopping
Transaction of 4483 at Uber,Travel
₹1294 spent on Ajio,Shopping
Paid Rs.2618 to Cash Withdrawal,Other
Rs.4913 debited for Zee5,Entertainment
Rs.275 debited for edX,Education
₹4748 spent on Pharmeasy,Health
Paid Rs.2704 to Misc Payment,Other
Rs.1979 debited for NetMeds,Health
Paid Rs.2972 to McDonalds,Food
Transaction of 2026 at Reliance Trends,Shopping
Rs.4988 debited for Rapido,Travel
Rs.1237 debited for Disney Hotstar,Entertainment
Rs.3854 debited for Cash Withdrawal,Other
Rs.2956 debited for Cheque Deposit,Other
Paid Rs.225 to Spotify,Entertainment
Paid Rs.59 to Amazon,Shopping
BookMyShow 544,Entertainment
Paid Rs.3992 to Paytm,Transfer
Paid Rs.1730 to McDonalds,Food
Paid Rs.3445 to Flipkart,Shopping
Rs.3033 debited for Ajio,Shopping
Transaction of 2253 at Paytm,Transfer
Transaction of 3797 at BigBasket,Groceries
Transaction of 1963 at Uber,Travel
₹3864 spent on UPI Transfer,Transfer
Transaction of 3741 at Apollo Pharmacy,Health
Paid Rs.3590 to edX,Education
Paytm 2003,Transfer
Rs.590 debited for Nature's Basket,Groceries
Electricity Bill 1751,Bills
Redbus 1918,Travel
Paid Rs.3897 to Paytm,Transfer
Transaction of 3611 at BSNL Bill,Bills
PhonePe 3518,Transfer
Rs.1504 debited for Disney Hotstar,Entertainment
Paid Rs.1045 to Ola,Travel
Transaction of 994 at ATM Withdrawal,Other
Transaction of 4561 at TataCliq,Shopping
BookMyShow 3923,Entertainment
WhiteHat Jr 273,Education
₹2300 spent on Amazon,Shopping
BSNL Bill 394,Bills
Cheque Deposit 398,Other
Rs.439 debited for Netflix,Entertainment
Transaction of 1192 at Byju's,Education
₹222 spent on Google Pay,Transfer
Transaction of 1779 at Misc Payment,Other
Transaction of 3738 at NEFT Transfer,Transfer
Transaction of 1177 at Apollo Pharmacy,Health
Rs.268 debited for IMPS Transfer,Transfer
Transaction of 1849 at PhonePe,Transfer
Transaction of 2300 at Pizza Hut,Food
DMart 3075,Groceries
Rs.4583 debited for McDonalds,Food
Rs.2648 debited for Rapido,Travel
Paid Rs.897 to Byju's,Education
Transaction of 3527 at Zomato,Food
Paid Rs.2932 to TataCliq,Shopping
BSNL Bill 3995,Bills
₹1585 spent on Misc Payment,Other
Rs.4396 debited for Unknown Transaction,Other
Rs.3103 debited for Pharmeasy,Health
Paid Rs.348 to Apollo Pharmacy,Health
Rs.1518 debited for Spotify,Entertainment
Fortis Hospital 3197,Health
₹4490 spent on NetMeds,Health
Unknown Transaction 2150,Other
₹1677 spent on Reliance Trends,Shopping
McDonalds 2565,Food
Rs.1500 debited for WhiteHat Jr,Education
PhonePe 3447,Transfer
Rs.88 debited for Misc Payment,Other
Transaction of 876 at Redbus,Travel
Nature's Basket 4666,Groceries
Cash Withdrawal 1481,Other
Rs.3290 debited for BSNL Bill,Bills
Transaction of 4492 at MedPlus,Health
Paid Rs.3527 to Paytm,Transfer
Rs.2283 debited for IRCTC,Travel
₹3948 spent on Netflix,Entertainment
Paid Rs.123 to Airtel Recharge,Bills
Transaction of 3524 at Unacademy,Education
Paid Rs.2107 to Spencer's,Groceries
Transaction of 161 at MakeMyTrip,Travel
Transaction of 1005 at Misc Payment,Other
Paid Rs.1249 to Cheque Deposit,Other
₹2207 spent on Ajio,Shopping
Paid Rs.1876 to Misc Payment,Other
Ola 3901,Travel
Rs.3693 debited for PhonePe,Transfer
Paid Rs.4063 to Airtel Recharge,Bills
Paid Rs.2232 to Myntra,Shopping
Rs.592 debited for Jio Postpaid,Bills
Transaction of 1766 at Reliance Fresh,Groceries
₹1602 spent on Dominos,Food
Rs.4999 debited for Cash Withdrawal,Other
Rs.3753 debited for Indigo Airlines,Travel
Transaction of 1350 at Indigo Airlines,Travel
Transaction of 838 at Cheque Deposit,Other
Paid Rs.1029 to Jio Postpaid,Bills
Flipkart 901,Shopping
Rs.175 debited for Cash Withdrawal,Other
Rs.3096 debited for Apollo Pharmacy,Health
Transaction of 1212 at Gas Bill,Bills
Apollo Pharmacy 4532,Health
Transaction of 1204 at Amazon,Shopping
₹3534 spent on More Supermarket,Groceries
₹143 spent on MakeMyTrip,Travel
Uber 4964,Travel
₹4304 spent on Google Pay,Transfer
Paid Rs.1342 to Electricity Bill,Bills
Paid Rs.308 to NEFT Transfer,Transfer
Paid Rs.1187 to Google Pay,Transfer
₹821 spent on Rapido,Travel
Fortis Hospital 4489,Health
Rs.4543 debited for Reliance Trends,Shopping
Paid Rs.3992 to Unacademy,Education
Rs.1270 debited for Pizza Hut,Food
Rs.2755 debited for More Supermarket,Groceries
Rs.4903 debited for Misc Payment,Other
Rs.1867 debited for More Supermarket,Groceries
Transaction of 1156 at More Supermarket,Groceries
₹661 spent on Rapido,Travel
Paid Rs.3890 to Zomato,Food
McDonalds 4201,Food
Paid Rs.4040 to Gas Bill,Bills
₹2242 spent on Udemy,Education
Udemy 3469,Education
Rs.1969 debited for Unknown Transaction,Other
Transaction of 658 at Redbus,Travel
Rs.1548 debited for Apollo Pharmacy,Health
₹1652 spent on Coursera,Education
Rs.672 debited for Flipkart,Shopping
PhonePe 3222,Transfer
Transaction of 1719 at BigBasket,Groceries
₹2960 spent on KFC,Food
₹268 spent on Jio Postpaid,Bills
Unacademy 3595,Education
Paid Rs.4526 to Rapido,Travel
Rs.819 debited for Ajio,Shopping
Transaction of 1732 at MedPlus,Health
Rs.1693 debited for Unknown Transaction,Other
₹885 spent on Electricity Bill,Bills
Rs.2283 debited for Max Healthcare,Health
Paid Rs.2730 to Disney Hotstar,Entertainment
Rs.4019 debited for Spotify,Entertainment
Paid Rs.241 to BSNL Bill,Bills
Transaction of 3053 at Reliance Fresh,Groceries
₹328 spent on IMPS Transfer,Transfer
Transaction of 2841 at Rapido,Travel
₹2564 spent on Unacademy,Education
Max Healthcare 777,Health
₹3142 spent on DMart,Groceries
Rs.3263 debited for Zomato,Food
Paid Rs.4545 to Reliance Trends,Shopping
₹3791 spent on Max Healthcare,Health
More Supermarket 4585,Groceries
Transaction of 1753 at Pharmeasy,Health
NetMeds 534,Health
Transaction of 471 at TataCliq,Shopping
Rs.2845 debited for Ola,Travel
MedPlus 2272,Health
₹3340 spent on Electricity Bill,Bills
₹3422 spent on SonyLiv,Entertainment
Airtel Recharge 2568,Bills
Rs.4163 debited for IRCTC,Travel
Transaction of 133 at Spotify,Entertainment
BigBasket 352,Groceries
Rs.1065 debited for NetMeds,Health
Paid Rs.3996 to More Supermarket,Groceries
Paid Rs.3924 to Zee5,Entertainment
More Supermarket 3987,Groceries
Rs.3899 debited for Uber,Travel
Transaction of 3319 at Coursera,Education
MedPlus 2192,Health
Amazon 218,Shopping
Rs.335 debited for Water Bill,Bills
Zee5 2062,Entertainment
Rs.2111 debited for Spotify,Entertainment
Transaction of 4412 at Byju's,Education
₹3927 spent on Reliance Trends,Shopping
Paid Rs.2516 to Disney Hotstar,Entertainment
Rs.4206 debited for Cash Withdrawal,Other
₹2718 spent on Flipkart,Shopping
Google Pay 4995,Transfer
Paid Rs.4462 to Fortis Hospital,Health
Rs.660 debited for Jio Postpaid,Bills
Transaction of 3959 at Swiggy,Food
Rs.3927 debited for Zee5,Entertainment
Transaction of 3489 at Paytm,Transfer
₹2891 spent on Uber,Travel
Rs.1746 debited for Coursera,Education
₹4045 spent on Disney Hotstar,Entertainment
Transaction of 2584 at Airtel Recharge,Bills
Paid Rs.908 to IMPS Transfer,Transfer
Paid Rs.3750 to Nature's Basket,Groceries
Transaction of 292 at edX,Education
Transaction of 477 at Jio Postpaid,Bills
₹4665 spent on UPI Transfer,Transfer
Paid Rs.1008 to Paytm,Transfer
Paid Rs.1104 to UPI Transfer,Transfer
Transaction of 1618 at Jio Postpaid,Bills
Rs.3599 debited for NEFT Transfer,Transfer
Paid Rs.2145 to edX,Education
Rs.3808 debited for Google Pay,Transfer
₹2254 spent on Pizza Hut,Food
Pharmeasy 4677,Health
₹3578 spent on PhonePe,Transfer
Flipkart 4070,Shopping
Rs.3344 debited for Coursera,Education
Rs.633 debited for Udemy,Education
Transaction of 1028 at Pharmeasy,Health
Paid Rs.2615 to IMPS Transfer,Transfer
Rs.3099 debited for Zee5,Entertainment
Rs.4225 debited for NEFT Transfer,Transfer
Rs.3343 debited for Unknown Transaction,Other
Electricity Bill 3300,Bills
Paid Rs.3166 to Water Bill,Bills
Rs.4233 debited for Misc Payment,Other
Paid Rs.3932 to Unacademy,Education
₹697 spent on Cheque Deposit,Other
Transaction of 4384 at Gas Bill,Bills
Paid Rs.2973 to UPI Transfer,Transfer
Paid Rs.1217 to MakeMyTrip,Travel
Paid Rs.2899 to Zee5,Entertainment
Max Healthcare 1995,Health
Rs.4586 debited for ATM Withdrawal,Other
Rs.3971 debited for Indigo Airlines,Travel
Rs.2901 debited for Spencer's,Groceries
Rs.2662 debited for Cafe Coffee Day,Food
Paid Rs.3564 to Swiggy,Food
Rs.3799 debited for Jio Postpaid,Bills
₹2021 spent on DMart,Groceries
IMPS Transfer 4794,Transfer
Paid Rs.2345 to MedPlus,Health
Paid Rs.739 to UPI Transfer,Transfer
WhiteHat Jr 3329,Education
Transaction of 1795 at Reliance Trends,Shopping
₹2430 spent on Amazon,Shopping
Paid Rs.4121 to MedPlus,Health
₹2114 spent on edX,Education
Paid Rs.1990 to Byju's,Education
Disney Hotstar 1840,Entertainment
Paid Rs.549 to Byju's,Education
Paid Rs.4004 to PhonePe,Transfer
Paid Rs.3688 to Cheque Deposit,Other
₹630 spent on Flipkart,Shopping
₹4127 spent on Netflix,Entertainment
Uber 2173,Travel
Transaction of 636 at Reliance Fresh,Groceries
Rs.4114 debited for BSNL Bill,Bills
₹2888 spent on Spotify,Entertainment
Transaction of 1788 at Redbus,Travel
SonyLiv 1968,Entertainment
